epoch,accuracy,loss,val_accuracy,val_loss
0,0.7450000047683716,0.9818935394287109,0.862500011920929,0.3243621587753296
1,0.8349999785423279,0.4203616678714752,0.90625,0.25533735752105713
2,0.878000020980835,0.3304600119590759,0.862500011920929,0.34766316413879395
3,0.8920000195503235,0.2956487834453583,0.8287500143051147,0.4978795349597931
4,0.9089999794960022,0.235859677195549,0.8012499809265137,0.840360701084137
5,0.9120000004768372,0.2371794730424881,0.8787500262260437,0.38805854320526123
6,0.9409999847412109,0.183447003364563,0.8887500166893005,0.3781642019748688
7,0.9350000023841858,0.18544621765613556,0.8374999761581421,0.5884863138198853
8,0.9549999833106995,0.12015838176012039,0.887499988079071,0.397359699010849
9,0.9580000042915344,0.1440417319536209,0.90625,0.3693271279335022
